ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
20416,AAS,4570,002,Seminar,"3","Ashon Crawley","Tu 3:30PM - 6:00PM","New Cabell Hall 283","Advanced Research Seminar in African-American & African Studies","Race Class Gender TimeofCrisis",Open,13,18,0
13372,AAS,4993,001,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","Independent Study","",Open,0,30,0
12657,AAS,4993,002,Independent Study,"1 - 12","Maurice Wallace","TBA","TBA","Independent Study","",Open,0,30,0
13090,AAS,4993,003,Independent Study,"1 - 12","Claudrena Harold","TBA","TBA","Independent Study","",Open,1,30,0
14614,AAS,4993,004,Independent Study,"1 - 12","Anne Rotich","TBA","TBA","Independent Study","",Open,0,30,0
21891,AAS,4993,005,Independent Study,"1 - 12","Talitha LeFlouria","TBA","TBA","Independent Study","",Open,2,30,0
22073,AAS,4993,006,Independent Study,"1 - 12","Marlene Daut Zaka","TBA","TBA","Independent Study","",Open,0,30,0
22546,AAS,4993,007,Independent Study,"1 - 12","Petal Samuel","TBA","TBA","Independent Study","",Open,1,30,0
22167,AAS,5559,001,Lecture,"1 - 4","Marlene Daut Zaka","TBA","TBA","New Course in African and African American Studies","",Open,1,5,0
20302,ACCT,2010,701,Lecture,"3","Marshall Kasten","Mo 2:00AM - 2:01AM","Web-Based Course-No class mtgs","Introductory Accounting I","",Closed,22,22,0
20303,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Introductory Accounting II","",Closed,15,15,0
20304,ACCT,3110,701,Lecture,"3","Leon Hutton","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Intermediate Accounting I","",Closed,9,9,0
20305,ACCT,3120,701,Lecture,"3","Nammy Lee","Th 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Intermediate Accounting II","",Closed,11,11,0
20306,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Cost Accounting","",Open,9,11,0
20307,ACCT,4450,701,Lecture,"3","Gary Dittmer","Mo 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Federal Taxation I","",Closed,20,20,0
20308,ACCT,5250,701,Lecture,"3","Richard Evans","Th 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Advanced Auditing","",Closed,6,6,0
20309,ACCT,5310,701,Lecture,"3","Gary Brooks","Mo 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Selected Topics in Advanced Accounting","",Closed,6,6,0
20310,ACCT,5410,701,Lecture,"3","Brent Tabor","Mo 2:02AM - 2:03AM","Web-Based Course-No class mtgs","Fraud Examination","",Closed,13,13,0
20311,ACCT,5460,701,Lecture,"3","Gary Dittmer","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Federal Taxation II","",Closed,4,4,0
15959,AIRS,100,001,Laboratory,"0","Christopher Ulman","Tu 3:30PM - 5:30PM","Physics Bldg 203","Leadership Laboratory","",Open,54,100,0
15953,AIRS,1200,001,Lecture,"1","Colleen Delawder","Tu 1:00PM - 1:50PM","Clark Hall 107","The Foundations of the U.S. Air Force","",Open,21,30,0
15954,AIRS,1200,002,Lecture,"1","Colleen Delawder","We 1:00PM - 1:50PM","Astronomy Bldg 139","The Foundations of the U.S. Air Force","",Open,11,35,0
15955,AIRS,2200,001,Lecture,"1","Daniel Brown","Tu 2:00PM - 2:50PM","Monroe Hall 124","The Evolution of Air and Space Power","",Open,12,40,0
15956,AIRS,2200,002,Lecture,"1","Daniel Brown","We 2:00PM - 2:50PM","Astronomy Bldg 139","The Evolution of Air and Space Power","",Open,7,20,0
15957,AIRS,3200,001,Lecture,"3","Christopher Ulman","Tu 12:30PM - 1:45PM","Shannon House 107","Concepts of Air Force Leadership and Management","",Open,0,25,0
15960,AIRS,3200,002,Lecture,"3","Christopher Ulman","Mo 12:30PM - 3:00PM","Astronomy Bldg 139","Concepts of Air Force Leadership and Management","",Open,9,25,0
15958,AIRS,4200,001,Lecture,"3","Patrick Donley","Tu 12:30PM - 1:45PM","Astronomy Bldg 139","National Security Affairs/Preparation for Active Duty","",Open,4,30,0
15961,AIRS,4200,002,Lecture,"3","Patrick Donley","Th 4:30PM - 7:00PM","Shannon House 107","National Security Affairs/Preparation for Active Duty","",Open,5,30,0
16097,ALAR,8020,001,Studio,"6","Staff","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,0,41,0
19988,ALAR,8020,002,Studio,"6","Phoebe Crisman","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,8,30,0
19989,ALAR,8020,003,Studio,"6","Charles Menefee","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,11,30,0
16155,ALAR,8020,004,Studio,"6","Luis Pancorbo Crespo","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,11,15,0
22259,ALAR,8020,005,Studio,"6","Ines Martin Robles","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,11,30,0
16148,ALAR,8993,001,Independent Study,"1 - 6","William Sherman","MoFr 2:00PM - 5:45PM","TBA","Independent Study","",Open,0,2,0
16105,ALAR,8995,001,Studio,"6","Staff","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Independent Design Research Studio","",Open,0,15,0
16223,ALAR,8999,001,Independent Study,"1 - 12","Staff","TBA","TBA","Non-Topical Design Research-Masters","",Open,0,1,0
16334,ALAR,8999,002,Independent Study,"1 - 12","Staff","TBA","TBA","Non-Topical Design Research-Masters","",Open,0,1,0
15360,AMST,2660,100,Lecture,"3","Matthew Hedstrom","MoWe 2:00PM - 2:50PM","Nau Hall 101","Spiritual But Not Religious: Spirituality in America","",Open,117,120,0
15535,AMST,2660,101,Discussion,"0","Melanie Pace","Th 6:00PM - 6:50PM","New Cabell Hall 111","Spiritual But Not Religious: Spirituality in America","",Open,9,10,0
15536,AMST,2660,102,Discussion,"0","Melanie Pace","Th 7:00PM - 7:50PM","Bryan Hall 235","Spiritual But Not Religious: Spirituality in America","",Open,8,10,0
15537,AMST,2660,103,Discussion,"0","Melanie Pace","Th 8:00PM - 8:50PM","Bryan Hall 235","Spiritual But Not Religious: Spirituality in America","",Closed,10,10,0
15538,AMST,2660,104,Discussion,"0","Jeremy Sorgen","We 6:00PM - 6:50PM","New Cabell Hall 187","Spiritual But Not Religious: Spirituality in America","",Closed,13,10,0
15539,AMST,2660,105,Discussion,"0","Jeremy Sorgen","We 7:00PM - 7:50PM","Bryan Hall 328","Spiritual But Not Religious: Spirituality in America","",Open,9,10,0
15540,AMST,2660,106,Discussion,"0","Jeremy Sorgen","We 8:00PM - 8:50PM","Bryan Hall 328","Spiritual But Not Religious: Spirituality in America","",Closed,9,9,0
15541,AMST,2660,107,Discussion,"0","Bradley Kime","Fr 12:00PM - 12:50PM","Dell 2 102","Spiritual But Not Religious: Spirituality in America","",Closed,10,10,0
15542,AMST,2660,108,Discussion,"0","Bradley Kime","Fr 1:00PM - 1:50PM","Dell 2 102","Spiritual But Not Religious: Spirituality in America","",Open,9,10,0
15543,AMST,2660,109,Discussion,"0","Bradley Kime","Fr 2:00PM - 2:50PM","Gilmer Hall 225","Spiritual But Not Religious: Spirituality in America","",Closed,10,10,0
20900,AMST,2660,110,Discussion,"0","Elizabeth Cable","We 6:00PM - 6:50PM","New Cabell Hall 303","Spiritual But Not Religious: Spirituality in America","",Closed,11,10,0
20901,AMST,2660,111,Discussion,"0","Elizabeth Cable","We 7:00PM - 7:50PM","The Rotunda Room 152","Spiritual But Not Religious: Spirituality in America","",Closed,9,10,0
20902,AMST,2660,112,Discussion,"0","Elizabeth Cable","We 8:00PM - 8:50PM","The Rotunda Room 152","Spiritual But Not Religious: Spirituality in America","",Closed,10,10,0
13804,AMST,3001,001,Seminar,"3","Marlene Daut","TuTh 11:00AM - 12:15PM","Bryan Hall 328","Theories and Methods of American Studies","",Closed,19,18,0
19170,AMST,3001,002,Seminar,"3","David Singerman","MoWe 5:00PM - 6:15PM","New Cabell Hall 032","Theories and Methods of American Studies","",Open,15,18,0
22272,AMST,3001,003,Seminar,"3","Lisa Goff","TuTh 11:00AM - 12:15PM","New Cabell Hall 395","Theories and Methods of American Studies","",Closed,18,18,0
20165,AMST,3321,001,Lecture,"3","Carmen Lamas","TuTh 9:30AM - 10:45AM","Gibson Hall 141","Race and Ethnicity in Latinx Literature","",Open,14,15,0
20829,AMST,3465,001,Lecture,"3","Lisa Goff","TuTh 3:30PM - 4:45PM","Bryan Hall 235","America and the Global South in Literature and Film","",Open,12,16,0
19177,AMST,3559,001,Lecture,"3","David Singerman","MoWe 2:00PM - 3:15PM","New Cabell Hall 291","New Course in American Studies","Science & Democracy in America",Open,19,20,0
19178,AMST,3559,002,Lecture,"3","Kasey Keeler","MoWe 3:30PM - 4:45PM","New Cabell Hall 287","New Course in American Studies","Indigenous Histories of Place",Open,17,20,0
19180,AMST,3559,003,Lecture,"3","Jessica Sewell","MoWe 2:00PM - 3:15PM","Bryan Hall 235","New Course in American Studies","Gender, Things, and Difference",Closed,26,25,0
20215,AMST,3559,004,Lecture,"3","Carmenita Higginbotham","TuTh 9:30AM - 10:45AM","Fayerweather Hall 206","New Course in American Studies","Identity, Space and Public Art",Closed,20,18,0
21093,AMST,3559,005,Lecture,"3","Marlene Daut","TuTh 9:30AM - 10:45AM","Wilson Hall 214","New Course in American Studies","Early Caribbean Writing",Open,1,15,0
20532,AMST,3641,100,Lecture,"3","Christian McMillen","MoWe 12:00PM - 12:50PM","Maury Hall 104","Native America","",Open,16,20,0
20533,AMST,3641,101,Discussion,"0","Brian Neumann","Fr 1:00PM - 1:50PM","Bryan Hall 235","Native America","",Closed,5,5,0
20534,AMST,3641,102,Discussion,"0","Brian Neumann","Fr 2:00PM - 2:50PM","Bryan Hall 235","Native America","",Closed,5,5,0
20536,AMST,3641,103,Discussion,"0","Brian Neumann","Fr 3:00PM - 3:50PM","Bryan Hall 235","Native America","",Open,6,10,0
19175,AMST,4321,001,Lecture,"3","Carmen Lamas","Tu 3:30PM - 6:00PM","New Cabell Hall 411","Caribbean Latinx: Cuba, Puerto Rico and the DR","",Closed,9,9,0
19172,AMST,4500,001,Seminar,"3","Jeremy Boggs","TuTh 12:30PM - 1:45PM","New Cabell Hall 042","Fourth-Year Seminar in American Studies","Digital Archive/Social Justice",Open,9,10,0
19171,AMST,4500,002,Seminar,"3","Sandhya Shukla","TuTh 12:30PM - 1:45PM","Bryan Hall 312","Fourth-Year Seminar in American Studies","Sports & Transnational Culture",Closed,11,8,0
19173,AMST,4500,003,Seminar,"3","Kenrick Grandison","Tu 5:30PM - 8:00PM","Bryan Hall 332","Fourth-Year Seminar in American Studies","Race in the Americas",Closed,8,8,0
19174,AMST,4500,004,Seminar,"3","Marlon Ross","TuTh 2:00PM - 3:15PM","Brooks Hall 103","Fourth-Year Seminar in American Studies","Critical Race Theory",Open,5,6,0
20217,AMST,4559,001,Lecture,"3","Katharine Balfour","We 1:00PM - 3:30PM","New Cabell Hall 594","New Course in American Studies","Politics and Literature",Open,4,5,0
12974,AMST,4893,001,Independent Study,"3","Sylvia Chong","TBA","TBA","Independent Study in Asian Pacific American Studies","",Open,0,30,0
12948,AMST,4993,002,Independent Study,"3","Sylvia Chong","TBA","TBA","Independent Study","",Open,0,30,0
12949,AMST,4993,003,Independent Study,"3","Grace Hale","TBA","TBA","Independent Study","",Open,0,30,0
12950,AMST,4993,004,Independent Study,"3","Matthew Hedstrom","TBA","TBA","Independent Study","",Open,0,30,0
22617,AMST,4993,005,Independent Study,"3","Camilla Fojas","TBA","TBA","Independent Study","",Open,1,5,0
12951,AMST,4993,006,Independent Study,"3","Sandhya Shukla","TBA","TBA","Independent Study","",Open,0,30,0
13511,AMST,4993,007,Independent Study,"3","Lisa Goff","TBA","TBA","Independent Study","",Open,2,30,0
15510,AMST,4993,008,Independent Study,"3","Carmenita Higginbotham","TBA","TBA","Independent Study","",Open,1,30,0
15892,AMST,4993,009,Independent Study,"3","Carmen Lamas","TBA","TBA","Independent Study","",Open,0,30,0
12143,AMST,4999,001,Seminar,"3","Anna Brickhouse","Mo 3:30PM - 6:00PM","Nau Hall 287","Distinguished Majors Thesis Seminar","",Open,3,9,0
15742,AMST,4999,002,Seminar,"3","Anna Brickhouse,Grace Hale","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
15743,AMST,4999,003,Seminar,"3","Anna Brickhouse,Camilla Fojas","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,2,9,0
15744,AMST,4999,004,Seminar,"3","Anna Brickhouse,Marlene Daut Zaka","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
15745,AMST,4999,005,Seminar,"3","Anna Brickhouse","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,1,9,0
15746,AMST,4999,006,Seminar,"3","Anna Brickhouse,Matthew Hedstrom","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,1,9,0
15747,AMST,4999,007,Seminar,"3","Anna Brickhouse,Sylvia Chong","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,1,9,0
15748,AMST,4999,008,Seminar,"3","Anna Brickhouse,Sandhya Shukla","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,1,9,0
21794,AMST,4999,009,Seminar,"3","Anna Brickhouse,Lisa Goff","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
21795,AMST,4999,010,Seminar,"3","Anna Brickhouse,Jennifer Greeson","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
21796,AMST,4999,011,Seminar,"3","Anna Brickhouse,Carmen Lamas","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
21811,AMST,4999,012,Seminar,"3","Anna Brickhouse,Carmenita Higginbotham","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,1,9,0
10752,ANTH,1010,100,Lecture,"3","Jeffrey Hantman","MoWe 11:00AM - 11:50AM","McLeod Hall 1020","Introduction to Anthropology","",Open,237,240,0
15106,ANTH,1010,101,Discussion,"0","Jeffrey Attridge","Th 8:30AM - 9:20AM","Brooks Hall 103","Introduction to Anthropology","",Open,17,20,0
15107,ANTH,1010,102,Discussion,"0","Johnathan Favini","Fr 9:00AM - 9:50AM","Ruffner Hall 175","Introduction to Anthropology","",Closed,20,20,0
15108,ANTH,1010,103,Discussion,"0","Johnathan Favini","Fr 10:00AM - 10:50AM","Ruffner Hall 175","Introduction to Anthropology","",Closed,20,20,0
19341,ANTH,1010,104,Discussion,"0","Gregory Sollish","Mo 9:00AM - 9:50AM","New Cabell Hall 191","Introduction to Anthropology","",Closed,20,20,0
19342,ANTH,1010,105,Discussion,"0","Johnathan Favini","Mo 10:00AM - 10:50AM","Wilson Hall 238","Introduction to Anthropology","",Closed,20,20,0
19343,ANTH,1010,106,Discussion,"0","Jeffrey Attridge","Tu 9:30AM - 10:20AM","Brooks Hall 103","Introduction to Anthropology","",Open,19,20,0
19344,ANTH,1010,107,Discussion,"0","Gregory Sollish","Tu 11:00AM - 11:50AM","New Cabell Hall 291","Introduction to Anthropology","",Closed,20,20,0
19345,ANTH,1010,108,Discussion,"0","Gregory Sollish","Th 11:00AM - 11:50AM","The Rotunda Room 150","Introduction to Anthropology","",Closed,21,20,0
19346,ANTH,1010,109,Discussion,"0","Jeffrey Attridge","We 9:00AM - 9:50AM","New Cabell Hall 415","Introduction to Anthropology","",Closed,20,20,0
22128,ANTH,1010,110,Discussion,"0","Susan Palazzo","We 10:00AM - 10:50AM","Nau Hall 142","Introduction to Anthropology","",Closed,20,20,0
22129,ANTH,1010,111,Discussion,"0","Susan Palazzo","Mo 1:00PM - 1:50PM","Brooks Hall 103","Introduction to Anthropology","",Closed,20,20,0
22130,ANTH,1010,112,Discussion,"0","Susan Palazzo","We 12:00PM - 12:50PM","Nau Hall 142","Introduction to Anthropology","",Closed,20,20,0
12970,ANTH,2280,100,Lecture,"3","Sylvia Tidey","TuTh 2:00PM - 2:50PM","Wilson Hall 301","Medical Anthropology","",Open,178,180,0
19347,ANTH,2280,101,Discussion,"0","Erin Jordan","Mo 9:00AM - 9:50AM","New Cabell Hall 209","Medical Anthropology","",Closed,20,20,0
19348,ANTH,2280,102,Discussion,"0","Erin Jordan","Mo 10:00AM - 10:50AM","New Cabell Hall 395","Medical Anthropology","",Closed,20,20,0
19349,ANTH,2280,103,Discussion,"0","Erin Jordan","Mo 12:00PM - 12:50PM","The Rotunda Room 152","Medical Anthropology","",Closed,20,20,0
19350,ANTH,2280,104,Discussion,"0","Alison Broach","We 9:00AM - 9:50AM","New Cabell Hall 283","Medical Anthropology","",Open,19,20,0
19351,ANTH,2280,105,Discussion,"0","Alison Broach","We 10:00AM - 10:50AM","The Rotunda Room 152","Medical Anthropology","",Closed,21,20,0
19352,ANTH,2280,106,Discussion,"0","Alison Broach","We 12:00PM - 12:50PM","The Rotunda Room 152","Medical Anthropology","",Closed,20,20,0
21959,ANTH,2280,107,Discussion,"0","Macario Garcia","Th 6:00PM - 6:50PM","Ruffner Hall 139","Medical Anthropology","",Open,19,20,0
21960,ANTH,2280,108,Discussion,"0","Macario Garcia","Th 7:00PM - 7:50PM","Ruffner Hall 139","Medical Anthropology","",Closed,20,20,0
21961,ANTH,2280,109,Discussion,"0","Macario Garcia","Th 8:00PM - 8:50PM","Ruffner Hall 139","Medical Anthropology","",Open,19,20,0
15120,ANTH,2325,100,Lecture,"3","George Mentore","TuTh 2:00PM - 2:50PM","Ruffner Hall G004","Anthropology of God","",Open,37,60,0
19353,ANTH,2325,101,Discussion,"0","Saad Quasem","Mo 9:00AM - 9:50AM","New Cabell Hall 415","Anthropology of God","",Open,12,20,0
19354,ANTH,2325,102,Discussion,"0","Saad Quasem","Mo 10:00AM - 10:50AM","New Cabell Hall 407","Anthropology of God","",Open,17,20,0
19355,ANTH,2325,103,Discussion,"0","Saad Quasem","We 9:00AM - 9:50AM","New Cabell Hall 211","Anthropology of God","",Open,8,20,0
10753,ANTH,2360,001,Lecture,"3","Roy Wagner","TuTh 9:30AM - 10:45AM","Maury Hall 104","Don Juan and Castaneda","",Closed,59,60,0
19370,ANTH,2410,100,Lecture,"3","Ellen Contini-Morava","MoWe 2:00PM - 2:50PM","Ruffner Hall G004","Sociolinguistics","",Open,42,60,0
19371,ANTH,2410,101,Discussion,"0","Julia Barnes","Th 6:00PM - 6:50PM","Dell 2 102","Sociolinguistics","",Open,17,20,0
19372,ANTH,2410,102,Discussion,"0","Julia Barnes","Th 7:00PM - 7:50PM","Dell 2 102","Sociolinguistics","",Open,13,20,0
19373,ANTH,2410,103,Discussion,"0","Julia Barnes","Fr 10:00AM - 10:50AM","New Cabell Hall 411","Sociolinguistics","",Open,12,20,0
14310,ANTH,2430,100,Lecture,"3","Samuel Beer","TuTh 10:00AM - 10:50AM","Wilson Hall 301","Languages of the World","",Closed,120,120,0
14311,ANTH,2430,101,Discussion,"0","Kennedy Castillo","Th 7:00PM - 7:50PM","Cocke Hall 115","Languages of the World","",Closed,21,20,0
14312,ANTH,2430,102,Discussion,"0","Kennedy Castillo","Th 8:00PM - 8:50PM","Cocke Hall 115","Languages of the World","",Closed,20,20,0
14313,ANTH,2430,103,Discussion,"0","Kennedy Castillo","Fr 9:00AM - 9:50AM","New Cabell Hall 332","Languages of the World","",Closed,20,20,0
19374,ANTH,2430,104,Discussion,"0","Amanda Hayek","Fr 10:00AM - 10:50AM","Ruffner Hall 173","Languages of the World","",Closed,21,20,0
19375,ANTH,2430,105,Discussion,"0","Amanda Hayek","Mo 8:00AM - 8:50AM","New Cabell Hall 283","Languages of the World","",Open,18,20,0
19376,ANTH,2430,106,Discussion,"0","Amanda Hayek","Mo 9:00AM - 9:50AM","New Cabell Hall 283","Languages of the World","",Closed,20,20,0
19377,ANTH,2589,100,Lecture,"3","Sevil Hatice Baltali Tirpan","MoWeFr 9:00AM - 9:50AM","The Rotunda Room 150","Topics in Archaeology","Things Matter",Open,19,25,0
19381,ANTH,2590,001,Lecture,"3","Giancarlo Rolando Betancourt","MoWeFr 10:00AM - 10:50AM","New Cabell Hall 332","Social and Cultural Anthropology","Anthropology of Personhood",Open,22,30,0
19382,ANTH,2590,002,Lecture,"3","Sheena Singh","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 383","Social and Cultural Anthropology","Wild Things",Open,28,30,0
19383,ANTH,2590,300,Lecture,"3","Megan Raschig","MoWe 12:00PM - 12:50PM","Nau Hall 211","Social and Cultural Anthropology","Politics of Healing",Closed,61,60,0
19384,ANTH,2590,301,Discussion,"0","Mingyun Zhang","Fr 9:00AM - 9:50AM","Brooks Hall 103","Social and Cultural Anthropology","Politics of Healing",Closed,20,20,0
19385,ANTH,2590,302,Discussion,"0","Mingyun Zhang","Fr 10:00AM - 10:50AM","The Rotunda Room 152","Social and Cultural Anthropology","Politics of Healing",Closed,20,20,0
19386,ANTH,2590,303,Discussion,"0","Mingyun Zhang","Th 9:30AM - 10:20AM","Bryan Hall 235","Social and Cultural Anthropology","Politics of Healing",Closed,21,20,0
15122,ANTH,2625,001,Lecture,"3","James Igoe","TuTh 2:00PM - 3:15PM","Maury Hall 115","Imagining Africa","",Closed,60,60,0
14314,ANTH,2820,100,Lecture,"3","Patricia Wattenmaker","TuTh 3:30PM - 4:20PM","Maury Hall 115","The Emergence of States and Cities","",Open,59,60,0
14725,ANTH,2820,101,Discussion,"0","Zachary Mckeeby","Mo 12:00PM - 12:50PM","The Rotunda Room 150","The Emergence of States and Cities","",Closed,20,20,0
14726,ANTH,2820,102,Discussion,"0","Zachary Mckeeby","Th 5:00PM - 5:50PM","New Cabell Hall 132","The Emergence of States and Cities","",Open,19,20,0
14727,ANTH,2820,103,Discussion,"0","Zachary Mckeeby","Th 6:00PM - 6:50PM","New Cabell Hall 132","The Emergence of States and Cities","",Closed,20,20,0
15665,ANTH,3020,300,Lecture,"3","Jeffrey Hantman","TuTh 3:30PM - 4:45PM","Maury Hall 104","Using Anthropology","",Closed,35,30,0
19400,ANTH,3129,001,Lecture,"3","John Shepherd","MoWe 2:00PM - 3:15PM","Physics Bldg 204","Marriage, Mortality, Fertility","",Open,37,90,0
13610,ANTH,3340,001,Lecture,"3","Frederick Damon","MoWeFr 10:00AM - 10:50AM","The Rotunda Room 150","Ecology and Society: An Introduction to the New Ecological Anthropology","",Open,23,25,0
13611,ANTH,3370,100,Lecture,"3","George Mentore","TuTh 11:00AM - 11:50AM","McLeod Hall 2007","Power and the Body","",Open,48,60,0
13612,ANTH,3370,101,Discussion,"0","Uzma Zafar","Th 12:30PM - 1:20PM","Brooks Hall 103","Power and the Body","",Closed,20,20,0
13613,ANTH,3370,102,Discussion,"0","Uzma Zafar","Fr 12:00PM - 12:50PM","The Rotunda Room 150","Power and the Body","",Open,18,20,0
13614,ANTH,3370,103,Discussion,"0","Uzma Zafar","Fr 8:00AM - 8:50AM","Brooks Hall 103","Power and the Body","",Open,10,20,0
12971,ANTH,3395,001,Seminar,"3","Roy Wagner","TuTh 12:30PM - 1:45PM","The Rotunda Room 150","Mythodology","",Closed,26,25,0
15128,ANTH,3490,100,Lecture,"3","Eve Danziger","WeFr 10:00AM - 10:50AM","Maury Hall 115","Language and Thought","",Open,59,60,0
15129,ANTH,3490,101,Discussion,"0","Richard Wayt","Tu 11:00AM - 11:50AM","Brooks Hall 103","Language and Thought","",Open,17,20,0
15130,ANTH,3490,102,Discussion,"0","Richard Wayt","Mo 9:00AM - 9:50AM","Nau Hall 242","Language and Thought","",Closed,21,20,0
